Nr,Comune,Insegna,Tipo,Frazione,Indirizzo,Civico
1,Andalo,Al Faggio,Ristorante,Andalo,Via Fovo,11
2,Arco,Osteria Il Ritratto,Ristorante-Bar,Arco,Via Ferrera,30
3,Baselga Di Pine,Ai Due Cami,Albergo-Ristorante-Bar,Baselga Di Pine,Via Pontara,352
4,Baselga Di Pine,Al Posta Hotel - Ristorante Ca' Dei Boci,Albergo-Ristorante-Bar,"Montagnaga,  Loc. Cadrobbi",Via Targa,1
5,Besenello,La Rupe Di Bese,Ristorante-Bar,Besenello,Via Castel Beseno,6
8,Calavino,Hosteria Toblisellipoint,Ristorante-Bar,Sarche,Via Garda,3
9,Campitello Di Fassa-ciampedel,La Stalla Del Non,Ristorante-Bar,Campitello Di Fassa-Ciampedel,Piaz Veie,28
10,Canazei-cianacei,El Pael,Ristorante-Pizzeria,Canazei-Cianacei,Via Roma,54
11,Cavalese,Costa Salici,Ristorante,Cavalese,Via Costa Salici,10
12,Cavalese,Ristorante Al Convento,Ristorante-Bar,Cavalese,Piazzetta Rizzoli,4
13,Cimego,Aurora,Albergo-Ristorante-Bar,Cimego,Loc. Cascidei Pomi,139
14,Cles,Giardino,Ristorante-Pizzeria-Bar,Cles,Via  Pilati,16
15,Commezzadura,Burba,Ristorante,Piadi Commezzadura,Via Pietro Bernardelli,32
17,Coredo,Hotel Pineta,Albergo-Ristorante-Bar,Tavon,Via Al Santuario,17
18,Fai Della Paganella,Alp & Wellness Sport Hotel Panorama,Albergo-Ristorante-Bar,Fai Della Paganella,Via Carletti,6
19,Folgaria,Ostaria Del Carador,Ristorante-Bar,Costa,Via Negheli,58
20,Fiave,Albergo Ristorante Bar Al Sole,Albergo-Ristorante-Bar,Fiave,Via 3 Novembre,12
21,Isera,Locanda Delle Tre Chiavi,Ristorante,Isera,Via C. Vannetti,2
22,Lavarone,Albergo Cervo Ristorante Stube Del Cervo,Albergo-Ristorante-Pizzeria-Bar,Chiesa,Piazza Milano,2
25,Levico Terme,Cantinota,Ristorante-Pizzeria,Levico Terme,Via Trieste,1
27,Luserna-lusern,Albergo Lusernarhof Bar Ristorante,Albergo-Ristorante-Bar,Luserna-Lusern,Via Tezze,43
28,Mezzolombardo,Per Bacco,Ristorante-Bar,Mezzolombardo,Via E. Devarda,28
30,Moena,Malga Pan,Ristorante,Moena,Via Costalunga,56
31,Moena,Post Hotel Restauratyrol,Ristorante,Moena,Piazza Italia,10
32,Molveno,Alexander Hotel,Albergo-Ristorante-Bar,Molveno,Piazza Scuole,7
34,Monclassico,Ristorante An,Ristorante-Bar,Monclassico,Via Nazionale,20
35,Nago-torbole,Al Forte Alto,Ristorante-Bar,Nago,Via Castel Penede,16
37,Peio,Cevedale Liviromance Hotel,Albergo-Ristorante-Bar,Cogolo,Via Roma,33
39,Pellizzano,Ristorante Rododendro,Ristorante,Pellizzano,Strada Per Pontesana,5
44,Pozza Di Fassa-poza,El Filo,Ristorante-Bar,Pozza Di Fassa-Poza,Via Roma,42
45,Pozza Di Fassa-poza,Le Giare,Ristorante-Pizzeria-Bar,Pozza Di Fassa-Poza,Via Parco,7
46,Ronzo-chienis,Albergo Martinelli,Albergo-Ristorante-Bar,Ronzo-Chienis,Via Del Car,4
47,Ronzo-chienis,Ristorante Antica Gardumo,Ristorante,Ronzo-Chienis,Via Ai Piani,1
48,Rovereto,San Colombano,Ristorante,Rovereto,Via Vicenza,28
49,San Michele All'adige,Ristorante Da Pino,Ristorante-Bar,Grumo-San Michele,Via Postal,39
51,Smarano,Ostaria Del Filo,Ristorante-Bar,Smarano,Viale Merlonga, 48/A
55,Terlago,Osteria Ca' Dei Giosi,Ristorante-Bar,Covelo,Via Villa Alta, 9/A
56,Terzolas,Alla Corte Dei Toldi,Ristorante-Bar,Terzolas,Via Dei Falidoni,32
58,Trento,Al Vo,Ristorante-Bar,Trento,Vicolo Del Vo',11
59,Trento,Antica Trattoria Al Volt,Trattoria-Bar,Trento,Via S. Croce,16
60,Trento,Antica Trattoria Due Mori,Ristorante-Bar,Trento,Via S. Marco,11
63,Trento,Hotel Villa Madruzzo,Albergo-Ristorante-Bar,Cognola,Via Ponte Alto,26
65,Trento,La Cantinota,Ristorante-Bar,Trento,Via S. Marco, 22-24
66,Trento,Old Bar & Food,Ristorante-Bar,Trento,Via Della Roggia Grande,8
67,Trento,Osteria A Le Due Spade,Ristorante-Bar,Trento,Via Don Rizzi,11
68,Trento,Scrigdel Duomo,Ristorante-Bar,Trento,Piazza Del Duomo,29
69,Trento,Trattoria Al Tino,Ristorante-Bar,Trento,Via SS. Trinita',10
70,Vermiglio,Alpino,Albergo-Ristorante-Bar,Vermiglio,Via Di Pizzano,32
